Oven Name,Total Quantity
Pie Oven,0
Pillow Oven,0
Pillow Stove,0
Pink Blue Oven,0
Pink Pumpkin Drink Machine,0
Pink Pumpkin Stove,0
Pinstripe Oven,0
Pioneer Oven,2
Pirate Oven,0
Plant Based Stove,0
Pond Drink Machine,0
Popcorn Maker,0
Powdered Oven,3
Powdered Stove,3
Power Bloom Oven,1
Prankster Oven,0
Princess Oven,1
Prismatic Oven,1
Puebla Drink Maker,0
Puebla Oven,0
Puff Oven,0
Pumpkin Patch Dispenser,4
Pumpkin Patch Oven,1
Pumpkin Producer,0
Pumpkin Stove,0
Pumpkistove,0
Quaint Cooker,0
Quaint Stove,0
Quilted Oven,0
Radiant Oven,0
Rainbow Cloud Oven,3
Rainbow Oven,7
Red Bird Oven,0
Red Gift Stove,0
Red Shop Oven,0
Red Team Oven,0
Reds Oven,6
Relaxed Oven,0
Resolute Drinks,1
Rocket Oven,3
Rocky Oven,1
Roller Malt Maker,1
Roller Oven,1
Rollercoaster Soda Fountain,0
Roman Hearth,0
Romantic Stove,0
Rose Gold Oven,1
Rose Gold Stove,1
Rose Heart Oven,0
Rose Oven,1
Rosey Resevoir,6
Royal Oven,0
Ruby Oven,1
Rustic Gingerbread Oven,2
Sakura Oven,6
Sakura Stove,6
Sandy Oven,0
Santa's Oven,1
Santa's Shop Oven,1
Santas Shop Fountain,0
Sapphire Oven,1
Savory Cafe Oven,0
Scandinavian Stove,0
Schmear Stove,5
Shamrock Oven,0
Shamrock Stove,0
Shaved Ice Maker,6
Shimmering Stove,0
Shine Stove,0
Shore Wood Oven,0
Shoreline Oven,0
Shoreline Stove,0
Shortbread Oven,3
Sicilian Oven,1
Silver Studded Stove,0
Snack Cooler,0
Snowman Fountain,1
Snowman Stove,0
Snowy Cabin Stove,0
Softy Machine,0
Sonic Victorian Oven,1
Sonic Victorian Stove,1
Southwest Oven,1
Space Stove,0
Spangled Stove,0
Special Petal Stove,0
Spectral Oven,0
Spherified Oven,0
Spooky Cauldron,0
Spooky Oven,3
Spooky Soda Machine,0
Spooky Stove,5
Spring Kettle,10
Spring Tea Kettle,5
Staggered Stove,0
Stainless Steel Oven,12
Starry Stove,1
Starship Stove,1
Steam Oven,0
Stylish Heart Stove,0
Succulent Fountain,1
Succulent Oven,1
Sugar Coater,2
Sugar Heart Stove,6
Sugar N Spicy Chiller,0
Sugar N Spicy Oven,0
Sultan Fountain,10
Summer Icebox,1
Sun Oven,0
Sunny Oven,0
Sunrise Potting Platform,0
Sunset Boulevard Stove,0
Sunset Seeding Station,0
Susurrous Oven,0
Sweet Bagel Oven,5
Sweet Cafe Stove,1
Sweet Dream Stove,0
Sweet Drink Mixer,0
Sweet Heart Dispenser,0
Sweet N Spice,7
SweetCo Station,5
Swiss Oven,1
Tartan Mixer,0
Tartan Oven,0
Tavern Drink Machine,0
Tavern Oven,0
Tea Cup Stove,5
Tea Infuser,0
Tea Party Prepper,0
Tea Shop Brewer,0
Tea Shop Oven,0
Tea Time Kettle,1
Tea Time Oven,1
Teddy Oven,0
Tempering Marble,0
Terracotta Pot Oven,0
Texas Fryer,1
Texas Oven,1
Thankful Stove,0
Tidal Prep Grill,1
Time Machine Oven,5
Time Machine Stove,4
Tinsel Cooler,1
Tinsel Oven,4
Toaster Oven,0
Too Pink Oven,7
Topsy Oven,1
Topsy Oven,0
Traditional Oven,0
Transporstove,0
Treasure Oven,1
Treat Dispenser,12
Tricky Butler,0
Tropic Juice Maker,0
Tropic Oven,0
Tropical Oven,0
Truffle Maker,3
Turkey Oven,1
Turning Glass Oven,0
Turvey Store,0
United Nations Oven,0
Valentine Drink Machine,0
Victorian Oven,0
Victorian Stove,0
Vintage Mixer,0
Vocal Range,1
Warm Bubble Oven,5
Water Infuser,0
Wave Crash Oven,1
Whip Fountain,0
White Aster Oven,8
Wicked Oven,0
Wild West Stove,0
Windmill Oven,5
Winter Cider Maker,0
Winter Frost Fountain,0
Winter Frost Oven,0
Winter Oven,0
Winter Wedding Oven,0
Winter Wonder Oven,0
Winterful Drink Maker,1
Winterful Oven,1
Wisteria Stove,1
Witch of the West Stove,0
Witches Cauldron,3
Witchy Oven,5
Witchy Treats,0
Wonderous Oven,0
Woodland Oven,0
World Games Oven,12
Wrapped Oven,0
X-O Oven,6
Yacht Stove,0
Ye Olde Oven,0
Ye Olde Stove B,0
Yoga Stove,1
Yogurt Chiller,3
Yuletide Candy Maker,0
Yultide Oven,0
Arcane Citadel Oven,5
Dragon's Breath Stove,3
Breezeway Bakers,5
Windchaser Range,3
Sunset Shell Oven,4
Palm Flame Oven,4
Nebular Oven,4
Santa's Pizza Oven,0
Wildlife Oven,0
Eggcellent Oven,0
Periodic Table Stove,0
Animal Cutearon Oven,0
Shamrock Drinks Machine,0
Spanish Mixer,0
