Oven,Name,Cost,Revenue,Quantity,Hours to Cook,Unlocked?,Completed?,Primary Color,Holiday,Season,Type,Other Tags
After Xmas Sale Stove,Leftover Eggnog Pancakes,1600,2900,725,7,FALSE,FALSE,,,,,
After Xmas Sale Stove,Leftover Stuffing Waffles,1640,3100,775,10,FALSE,FALSE,,,,,
Alice Oven,Cheshire Cookie,760,1200,300,1,FALSE,FALSE,,,,,
Alice Oven,Cup Of Tea Cakes,860,1400,350,2,FALSE,FALSE,,,,,
Alice Oven,Unbirthday Cake,1020,1600,400,4,FALSE,FALSE,,,,,
Ambrosia Chiller,Tropical Ambrosia,1220,1900,475,2,TRUE,FALSE,,,,,
Ambrosia Chiller,Berry Ambrosia,1380,2200,550,3,TRUE,FALSE,,,,,
Ambrosia Chiller,Citrus Ambrosia,1540,2600,650,5,TRUE,FALSE,Orange,,,,
American Oven,Boston Cream Pie,1220,1900,475,2,FALSE,FALSE,,,,,
American Oven,Strawberry Baked Alaska,1600,2900,725,7,FALSE,FALSE,,,,,
American Oven,America Themed Cake,1640,3100,775,10,FALSE,FALSE,,,,,
Amethyst Oven,Raindrop Cake,940,1400,350,1,TRUE,TRUE,Blue,,,,
Amethyst Oven,Dirt Trifle Cake,940,1400,350,1,TRUE,TRUE,Brown,,,,
Amethyst Oven,Black Cat Cookie,940,1400,350,1,TRUE,TRUE,Black,Halloween,,Cookies,Animal
Amethyst Oven,Rainbonnoli,940,1400,350,1,TRUE,TRUE,Purple,Independence Day,,Pastries,
Amethyst Oven,Amethyst Promise,1040,1600,400,2,TRUE,TRUE,Purple,,,Multi Layer Cakes,
Amethyst Oven,Amethyst Petals,1480,2500,625,4,TRUE,TRUE,Purple,,,Multi Layer Cakes,
Amethyst Oven,Amethyst Forever,2080,3800,950,8,TRUE,TRUE,Purple,,,Multi Layer Cakes,
Amethyst Oven,Slimed Cake,1380,2200,550,3,FALSE,FALSE,,,,,
Amethyst Oven,Black Cat Cake,1620,3000,750,8,FALSE,FALSE,,,,,
Amethyst Oven,Black Cat Cupcake,1380,2200,550,3,FALSE,FALSE,,,,,
Amethyst Oven,Cherry Blossom Raindrop,1620,3000,750,8,FALSE,FALSE,,,,,
Amethyst Oven,Strawberry Raindrop,1380,2200,550,3,FALSE,FALSE,,,,,
Amethyst Oven,Chromadomes,1620,3000,750,8,FALSE,FALSE,,,,,
Amethyst Oven,Cool Cake,1380,2200,550,3,FALSE,FALSE,,,,,
Amethyst Oven,Cobweb Cake,1620,3000,750,8,FALSE,FALSE,,,,,
Amethyst Oven,Dwarf Galaxy Bars,940,1400,350,1,TRUE,FALSE,Blue,,,,Space
Amethyst Oven,Masquerade Cream Puffs,940,1400,350,1,TRUE,FALSE,,,,,
Animal Cutearon Oven,Snail Cutearon,1220,1900,475,2,FALSE,FALSE,Pink,,,,Animal
Animal Cutearon Oven,Bee Cutearon,1380,2200,550,3,FALSE,FALSE,,,,,Animal
Animal Cutearon Oven,Ladybug Cutearon,1540,2600,650,5,FALSE,FALSE,,,,,Animal
Anti Griddle,Cream Cookie Rolled Ice Cream,1580,3500,700,6,FALSE,FALSE,,,,,
Anti Griddle,Vanilla Rolled Ice Cream,1220,2375,475,2,FALSE,FALSE,,,,,
Anti Griddle,Overloaded Rolled Ice Cream,1640,3875,775,10,FALSE,FALSE,,,,,
Arcane Citadel Oven,Spell Scroll Cinnamon Twists,1220,1900,475,2,TRUE,TRUE,,,,,
Arcane Citadel Oven,D20 Critical Fudge Brownies,1380,2200,550,3,TRUE,TRUE,,,,Brownies,
Arcane Citadel Oven,Goblin Gold Coin Cookies,1540,2600,650,5,TRUE,TRUE,,St Patricks Day,,Cookies,
Arepa Oven,Arepas Con Queso,1220,1900,475,2,FALSE,FALSE,,,,,
Arepa Oven,Sweet Corn Arepas,1380,2200,550,3,FALSE,FALSE,,,,,
Arepa Oven,Arepas Dulces,1540,2600,650,5,FALSE,FALSE,,,,,
Around The World Oven,Berliners,1880,3875,775,4,FALSE,FALSE,,,,,
Around The World Oven,Baklawa,1320,2625,525,2,FALSE,FALSE,,,,,
Around The World Oven,Sfogliatella,940,1750,350,1,FALSE,FALSE,,,,,
Arrangement Stations,Affectionate Arrangement,1220,1900,475,2,FALSE,FALSE,,,,,
Arrangement Stations,Romantic Arrangement,1600,2900,725,7,FALSE,FALSE,,,,,
Arrangement Stations,Sweetheart Arrangement,1640,3100,775,10,FALSE,FALSE,,,,,
Artisan Bread Oven,Focaccia,1380,2750,550,3,TRUE,TRUE,,,,,
Artisan Bread Oven,Brioche,1480,3125,625,4,TRUE,TRUE,,,,,
Artisan Bread Oven,Chapati,1540,3250,650,5,TRUE,TRUE,,,,,
Artsy Icebox,Pineapple Dream,1960,3300,825,4,FALSE,FALSE,,,,,
Artsy Icebox,Grasshopper Pie,1400,2200,550,2,FALSE,FALSE,,,,,
Artsy Icebox,Painted Glass,2780,5100,1275,8,FALSE,FALSE,,,,,
Autumn Drink Machine,Switchel,1600,2900,725,7,FALSE,FALSE,,,,,
Autumn Drink Machine,Maple and Meyer Lemonade,1480,2500,625,4,FALSE,FALSE,,,,,
Autumn Drink Machine,Maple Cider,940,1400,350,1,FALSE,FALSE,,,,,
Autumn Elegance Oven,Mini Pumpkin Pies,1220,1900,475,2,TRUE,TRUE,,,,Pies,
Autumn Elegance Oven,Autumn Layer Cake,1600,2900,725,7,TRUE,TRUE,,,,,
Autumn Elegance Oven,Woodland Cakes,1640,3100,775,10,TRUE,TRUE,,,,,
Autumn Leaf Cider Machine,Mason Jar Cider,1220,1900,475,2,TRUE,TRUE,,,,Cold Drinks,
Autumn Leaf Cider Machine,Iced Cider,1380,2200,550,3,TRUE,TRUE,,,,Cold Drinks,
Autumn Leaf Cider Machine,Pumpkin Cider Mug,1540,2600,650,5,TRUE,TRUE,,,,Cold Drinks,
Autumn Oven,Leaf Cupcake,940,1400,350,1,TRUE,TRUE,,,Fall,Cupcakes,
Autumn Oven,Blueberry Lavender Pie,940,1400,350,1,TRUE,TRUE,Purple,,,Pies,Plants
Autumn Oven,Cranberry Flummery,940,1400,350,1,TRUE,FALSE,Pink,,,Puddings/Parfaits,
Autumn Oven,Cranberry Frangipane,1380,2200,550,3,TRUE,FALSE,,,,,
Autumn Oven,Sweet Scarecrow Cupcakes,1380,2200,550,3,TRUE,FALSE,,,,Cupcakes,
Autumn Oven,Cranberry Bundt,1620,3000,750,8,TRUE,FALSE,,,,Single Layer Cakes,
Autumn Oven,Yellow Leaf Cookies,4720,8100,2025,5,TRUE,FALSE,,,,Cookies,
Autumn Oven,Orange Leaf Cookies,5040,9000,2250,7,TRUE,FALSE,,,,Cookies,
Autumn Oven,Red Leaf Cookies,5220,9800,2450,9,TRUE,FALSE,,,,Cookies,
Autumn Oven,Autumn Flowers Cupcakes,1620,3000,750,8,FALSE,FALSE,,,,,
Autumn Oven,Rose Apple Pie,1620,3000,750,8,FALSE,FALSE,,,,,
Autumn Oven,Apple Cider Donut Pops,940,1400,350,1,TRUE,FALSE,Tan,,,Donuts,
Autumn Oven,Rhubarb Galette,1380,2200,550,3,FALSE,FALSE,,,,,
Autumn Pie Oven,Maple and Acorn Pie,3260,6200,1550,10,FALSE,FALSE,,,,,
Autumn Pie Oven,Maple Mixed Berry Pie,1580,2800,700,6,FALSE,FALSE,,,,,
Autumn Pie Oven,Maple Syrup Pie,1220,1900,475,2,FALSE,FALSE,,,,,
Autumn Turquoise Oven,Sweet Potato Cake,1220,1900,475,2,TRUE,TRUE,,,,,
Autumn Turquoise Oven,Blueberry Pumpkin Pie,1380,2200,550,3,TRUE,TRUE,,,,Pies,
Autumn Turquoise Oven,Cornucopia Cake,1540,2600,650,5,TRUE,TRUE,,,,,
Autumn Turquoise Stove,Autumn Turquoise Cake,1220,1900,475,2,TRUE,TRUE,,,,,
Autumn Turquoise Stove,Turquoise Turkey Cupcakes,1600,2900,725,7,TRUE,TRUE,,,,,
Autumn Turquoise Stove,Turquoise Turkey Cake,1640,3100,775,10,TRUE,TRUE,,,,,
Bakesgiving Oven,Caramel Chocodome,940,1400,350,1,TRUE,TRUE,Brown,,,,
Bakesgiving Oven,Raspberry Whoopie Pie,940,1400,350,1,TRUE,TRUE,Blue,,,Pastries,
Bakesgiving Oven,Green Bean Casserole,940,1400,350,1,TRUE,TRUE,Rainbow,,,Savory,ooglay
Bakesgiving Oven,Rosy Crystal Biscuits,940,1400,350,1,TRUE,TRUE,Pink,,Spring,Cookies,Plants
Bakesgiving Oven,Amethyst Cake,1380,2200,550,3,TRUE,TRUE,Purple,,,,
Bakesgiving Oven,Crystal Cupcakes,1620,3000,750,8,TRUE,TRUE,Purple,,,,
Bakesgiving Oven,Sweet Potato Cheesecake,2060,3400,850,4,TRUE,TRUE,,Thanksgiving,Fall,,
Bakesgiving Oven,Pumpkin Cheesecake,2060,3400,850,4,TRUE,TRUE,,Thanksgiving,Fall,,
Bakesgiving Oven,Cranberry Walnut Brie,1380,2200,550,3,FALSE,FALSE,,,,,
Bakesgiving Oven,Strawberry Chiffon Cake,1620,3000,750,8,FALSE,FALSE,,,,,
Bakesgiving Oven,Terrific Tiramisu,1620,3000,750,8,FALSE,FALSE,,,,,
Bakesgiving Oven,White Raspberry Mousse,1380,2200,550,3,FALSE,FALSE,,,,,
Bakesgiving Oven,Blueberry Cheesecake,3580,7200,1800,12,FALSE,FALSE,,,,,
Bakesgiving Oven,Peanut Butter Cheesecake,2920,5400,1350,8,FALSE,FALSE,,,,,
Bakesgiving Oven,Cranberry Cheesecake,3580,7200,1800,12,FALSE,FALSE,,,,,
Bakesgiving Oven,Yam Cheesecake,2920,5400,1350,8,FALSE,FALSE,,,,,
Bakesgiving Oven,Sweet Potato Casserole,1380,2200,550,3,FALSE,FALSE,,,,,
Bakesgiving Oven,Cranberry Apple Casserole,1620,3000,750,8,FALSE,FALSE,,,,,
Baking Oven,Layman Loaf,1220,1900,475,2,FALSE,FALSE,,,,,
Baking Oven,Classic Croissant,1380,2200,550,3,FALSE,FALSE,,,,,
Baking Oven,Basic Bagel,1540,2600,650,5,FALSE,FALSE,,,,,
Ballpark Fountain,Cola Soda Can,940,1400,350,1,FALSE,FALSE,,,,,Movies|State Fair
Ballpark Fountain,Lemon Soda Can,1380,2200,550,3,FALSE,FALSE,,,,,
Ballpark Fountain,Strawberry Soda Can,1620,3000,750,8,FALSE,FALSE,,,,,
Ballpark Fountain,Cream Soda,940,1750,350,1,FALSE,FALSE,,,,,
Ballpark Fountain,Sassafrasparilla,1380,2750,550,3,FALSE,FALSE,,,,,
Ballpark Fountain,Root Beer,1580,3500,700,6,FALSE,FALSE,,,,,
Ballpark Fountain,Rally Cap Fizz,2400,4200,1050,6,FALSE,FALSE,,,,,
Ballpark Fountain,Caramel Shake,1700,2800,700,3,FALSE,FALSE,,,,,
Ballpark Fountain,Cream Soda Float,980,1500,375,1,FALSE,FALSE,,,,,
Banana Stand,Coconut Banana,1220,1900,475,2,FALSE,FALSE,,,,,
Banana Stand,Frosted Banana,1880,3100,775,4,FALSE,FALSE,,,,,
Banana Stand,Sprinkled Banana,2660,4900,1225,8,FALSE,FALSE,,,,,
Banner Oven,Peach Pie,1920,3200,800,4,FALSE,FALSE,,,,,
Banner Oven,French Silk Pie,1360,2200,550,2,FALSE,FALSE,,,,,
Banner Oven,Caramel Pie,2360,4100,1025,6,FALSE,FALSE,,,,,
Barbecue Oven,Barbecue Cookies,1220,1900,475,2,FALSE,FALSE,,,,,
Barbecue Oven,Hot Dog Hamburger Cookies,1380,2200,550,3,FALSE,FALSE,,,,,
Barbecue Oven,Lemonade Cookies,1540,2600,650,5,FALSE,FALSE,,,,,
Barnyard Oven B,Hatcake Cupcake,1220,1900,475,2,FALSE,FALSE,,,,,
Barnyard Oven B,Sugarshoe Cookie,1380,2200,550,3,FALSE,FALSE,,,,,
Barnyard Oven B,Cavalry Cake,1540,2600,650,5,FALSE,FALSE,,,,,
Barnyard Oven B2021,Spiced Coffee Cake,1220,1900,475,2,FALSE,FALSE,,,,,
Barnyard Oven B2021,Autumn Roll,1380,2200,550,3,FALSE,FALSE,,,,,
Barnyard Oven B2021,Pumpkin Pie Bowl,1540,2600,650,5,FALSE,FALSE,,,,,
Barnyard Stove B,Barn Door Bon Bon,1220,1900,475,2,FALSE,FALSE,,,,,
Barnyard Stove B,Apple Oat Horseshoe,1600,2900,725,7,FALSE,FALSE,,,,,
Barnyard Stove B,Neigh Cups,1640,3100,775,10,FALSE,FALSE,,,,,
Barrel Stove,Candy Apple Cupcake,1220,1900,475,2,FALSE,FALSE,,,,,
Barrel Stove,Barnyard Chocolate Tart,1600,2900,725,7,FALSE,FALSE,,,,,
Barrel Stove,Apple Cinnamon Tacos,1640,3100,775,10,FALSE,FALSE,,,,,
Basic Oven,Chocolate Cookies,40,140,140,0.08333,TRUE,TRUE,Tan,,,Cookies,
Basic Oven,Brownies,30,110,110,0.01666,TRUE,TRUE,Brown,,,Brownies,
Basic Oven,Blueberry Muffins,110,390,130,0.25,TRUE,TRUE,Tan,,,Muffins,
Basic Oven,Chocolate Cake,380,700,350,1,TRUE,TRUE,Brown,,,Single Layer Cakes,
Basic Oven,Peach Cobbler,740,1200,300,3,TRUE,TRUE,,,,,
Basic Oven,Chocolate Tart,2480,6000,1500,24,TRUE,TRUE,,,,Tarts,
Basic Oven,Carrot Cake,1729,3400,850,12,TRUE,TRUE,,,,,
Basic Oven,Instant Pudding,200,352,88,0.08333,TRUE,TRUE,Brown,Christmas,,Puddings/Parfaits,
Basic Oven,Croissant,1180,2100,525,2,TRUE,TRUE,,,,Breads,
Basic Oven,Coco Cream Muffins,2680,4700,1175,6,TRUE,TRUE,,,,Muffins,
Basic Oven,Red Velvet Cookies,4360,7100,1775,3,TRUE,TRUE,Red,,,Cookies,
Basic Oven,Chocolate Cherry Trifle,4620,8500,2125,8,TRUE,TRUE,,,,Puddings/Parfaits,
Basic Oven,PB Chocolate Cake,460,700,175,0.5,TRUE,TRUE,Brown,,,Single Layer Cakes,
Basic Oven,Fruit Tart,1500,2600,650,6,TRUE,TRUE,,,,Tarts,
Basic Oven,Pool Pie,2400,4800,1200,12,TRUE,TRUE,Blue,,,Pies,
Basic Oven,Gymnastic Cake,3540,8100,2025,19,TRUE,TRUE,,,,Single Layer Cakes,
Basic Oven,Yule Log,2300,4000,1000,6,TRUE,TRUE,Brown,Christmas,,Roll Cake,
Basic Oven,Holiday Cupcake,3660,7000,1750,10,TRUE,TRUE,,Christmas,,Cupcakes,
Basic Oven,Pumpkin Pie,5340,14000,1750,48,TRUE,TRUE,Orange,Thanksgiving,Fall,Pies,
Basic Oven,Strawberry Cake,1400,2300,575,4,TRUE,TRUE,Pink,,,Single Layer Cakes,
Basic Oven,Holiday Waffles,1320,2100,525,2,TRUE,TRUE,,,,Waffles,
Basic Oven,Cronut,1790,6700,1675,9,TRUE,TRUE,,,,Donuts,
Basic Oven,Sticky Cake,2240,4500,1125,12,TRUE,TRUE,Tan,,,,
Basic Oven,Heart Toast,1400,2300,575,3,TRUE,TRUE,,,,Breads,
Basic Oven,Marshmallow Chicks,2700,4700,1175,6,TRUE,TRUE,,Easter,,Candies/Sweets,
Basic Oven,Sugar Cookies,5240,12700,1270,24,TRUE,TRUE,Rainbow,Easter,,Cookies,
Basic Oven,Celebration Cupcake,2300,4000,1000,6,TRUE,TRUE,,Independence Day,,Cupcakes,
Basic Oven,Brawny Muffin,2360,3900,975,4,TRUE,TRUE,Tan,,,Muffins,
Basic Oven,Banana Bread,3780,8200,1025,16,TRUE,TRUE,,,,Breads,
Basic Oven,Berry Flan,3440,5700,1425,4,TRUE,TRUE,Tan,,,,
Basic Oven,Chocolate Flan,4700,9000,2250,10,TRUE,TRUE,Brown,,,,
Basic Oven,Basic Flan,4720,8700,2175,8,TRUE,TRUE,,,,,
Basic Oven,Wagashi,1400,2200,550,2,TRUE,TRUE,Pink,,,Candies/Sweets,
Basic Oven,Mochi Ice Cream,2040,3400,850,4,TRUE,TRUE,Rainbow,,,Ice Creams,Pastels
Basic Oven,Strawberry Cheesecake,2800,5100,1275,8,TRUE,TRUE,Red,,,Single Layer Cakes,
Basic Oven,Dango,2300,4200,1050,8,TRUE,TRUE,Rainbow,,Spring,,Baby Shower
Basic Oven,Raspberry Macarons,1040,1600,400,1,TRUE,TRUE,Pink,,,Macarons,
Basic Oven,Cube Croissant,940,1400,350,1,TRUE,TRUE,,,,Breads,
Basic Oven,Alfajores,1200,1900,475,1,TRUE,TRUE,Tan,,,Macarons,
Basic Oven,Celebration Trifle,1400,2200,550,1,TRUE,TRUE,,Independence Day,,Puddings/Parfaits,
Basic Oven,Fruitcake,1500,2300,575,1,TRUE,TRUE,,,,,
Basic Oven,Orange Eclair,940,1400,350,1,TRUE,TRUE,Tan,,,Pastries,Tray
Basic Oven,Fruit Cake,1120,1800,450,2,TRUE,TRUE,,,,,
Basic Oven,Candy Apples,2040,3200,800,2,TRUE,TRUE,Red,,,Candies/Sweets,
Basic Oven,Cuernitos,2100,3400,850,3,TRUE,TRUE,,,,,
Basic Oven,Caramel Apples,2040,3200,800,2,TRUE,TRUE,,,,Candies/Sweets,
Basic Oven,Angel Food Cake,2180,3500,875,2,TRUE,TRUE,,,,,
Basic Oven,Soccer Cake Pops,2280,3700,925,3,TRUE,TRUE,Green,,,Cake Pops,Sports
Basic Oven,Turkish Delights,1520,2500,625,4,TRUE,TRUE,Rainbow,,,,
Basic Oven,Pie Cake,1580,2600,650,4,TRUE,TRUE,Tan,,,Multi Layer Cakes,
Basic Oven,Lemon Muffin,2080,3600,900,5,TRUE,TRUE,,,,,
Basic Oven,Arroz Con Leche,2420,4000,1000,4,TRUE,TRUE,,,,,
Basic Oven,Citrine Cupcakes,2160,3400,850,2,TRUE,TRUE,,,,,
Basic Oven,Pecan Pie,2560,4300,1075,4,TRUE,TRUE,Tan,,,Pies,
Basic Oven,Sesame Tapioca Bread,2580,4300,1075,4,TRUE,TRUE,Tan,,,Breads,
Basic Oven,Jam Cookies,2640,4200,1050,2,TRUE,TRUE,,,,,
Basic Oven,Vanilla Cupcake,2800,4700,1175,4,TRUE,TRUE,White,,,,
Basic Oven,Madeleine Cookies,2920,5100,1275,6,TRUE,TRUE,Tan,,,,
Basic Oven,Medialuna,2960,5200,1300,6,TRUE,TRUE,Tan,,,,
Basic Oven,Kiwi Cheesecake,2940,4900,1225,4,TRUE,TRUE,Green,,,Single Layer Cakes,
Basic Oven,Quillcakes,2160,3500,875,3,TRUE,TRUE,Pink,,,,
Basic Oven,Tapioca Pudding,3300,5400,1350,3,TRUE,TRUE,White,,,Puddings/Parfaits,
Basic Oven,Biscotti,3320,5500,1375,4,TRUE,TRUE,Tan,,,Cookies,
Basic Oven,Gingerbread Cookies,3420,6000,750,6,TRUE,TRUE,,,,,
Basic Oven,Well-Done Toast,3240,5900,1475,8,TRUE,TRUE,Tan,,,,
Basic Oven,Citrine Cake,3040,5100,1275,4,TRUE,TRUE,Yellow,,Spring,,fav
Basic Oven,Cherry Muffin,2980,6000,1500,12,TRUE,TRUE,,,,,
Basic Oven,Daisy Cake,2740,4800,1200,6,TRUE,TRUE,,,,,
Basic Oven,Apple Cupcake,3540,6200,1550,6,TRUE,TRUE,,,,,
Basic Oven,Cherry Pie,3680,5800,1450,2,TRUE,TRUE,,,,Pies,
Basic Oven,Blueberry Scone,3780,6900,1725,8,TRUE,TRUE,,,,Pastries,
Basic Oven,Peanut Butter Cookies,3780,6900,1725,8,TRUE,TRUE,Tan,,,Cookies,
Basic Oven,Crow Pie,3060,5400,1350,6,TRUE,TRUE,,,,Pies,ooglay
Basic Oven,Autumn Cookies,3680,6100,1525,4,TRUE,TRUE,Orange,,Fall,Cookies,
Basic Oven,Cinnamon Rolls,4140,8300,830,12,TRUE,TRUE,,,,Breads,
Basic Oven,Beach Cupcake,3840,6400,1600,4,TRUE,TRUE,Blue,,Summer,Cupcakes,
Basic Oven,Magic Trick Cupcakes,4320,7400,1850,5,TRUE,TRUE,,,,Cupcakes,
Basic Oven,Subway Cupcakes,4080,7100,1775,6,TRUE,TRUE,Rainbow,,,Cupcakes,
Basic Oven,NY Bagel,4260,8200,2050,10,TRUE,TRUE,Tan,,,Breads,
Basic Oven,Red Berry Delight,4160,7600,1900,8,TRUE,TRUE,Pink,,,Single Layer Cakes,
Basic Oven,Eclairs,4600,8100,2025,6,TRUE,TRUE,,,,Pastries,
Basic Oven,Cannoli,4720,9400,2350,12,TRUE,TRUE,,,,Pastries,
Basic Oven,Strawberry Coffee Cake,4900,8600,2150,6,TRUE,TRUE,Tan,,,,
Basic Oven,Valentine Cookies,5040,12200,1525,24,TRUE,TRUE,Red,Valentine's Day,,Cookies,
Basic Oven,Black and White Cookies,4940,9300,2325,9,TRUE,TRUE,,,,Cookies,
Basic Oven,Apple Pie,5240,10500,2625,12,TRUE,TRUE,,,,Pies,
Basic Oven,Key Lime Pie,5220,9100,2275,6,TRUE,TRUE,Green,,,Pies,
Basic Oven,Blueberry Chiffon,5220,10000,2500,10,TRUE,TRUE,,,,,
Basic Oven,Peridot Cupcakes,5640,11300,2825,12,TRUE,TRUE,Green,,,Cupcakes,<3
Basic Oven,Berry Rhubarb Pie,5660,10800,2700,10,TRUE,TRUE,,,,Pies,
Basic Oven,Coconut Cream Pie,5800,10600,2650,8,TRUE,TRUE,,,,Pies,
Basic Oven,Blueberry Buckle,5960,14400,3600,24,TRUE,TRUE,,,,,
Basic Oven,Red Velvet Cake,6100,14700,1225,24,TRUE,TRUE,,,,Single Layer Cakes,
Basic Oven,Lemon Meringue Pie,6320,13700,3425,16,TRUE,TRUE,White,,,Pies,<3
Basic Oven,Castella,6380,12500,3125,11,TRUE,TRUE,,,,,
Basic Oven,Autumn Cake,6600,14900,3725,18,TRUE,TRUE,Orange,,Fall,Single Layer Cakes,
Basic Oven,Black Forest Cake,6880,15500,3875,18,TRUE,TRUE,,,,Single Layer Cakes,
Basic Oven,Watermelon Cake,6900,13800,3450,12,TRUE,TRUE,,,Summer,Single Layer Cakes,
Basic Oven,Starfish Biscuits,7440,15200,3800,13,TRUE,TRUE,Tan,,,Breads,
Basic Oven,Seashell Cupcakes,7380,16600,4150,18,TRUE,TRUE,Tan,,,Cupcakes,
Basic Oven,Sweet Potato Pie,7540,17600,4400,20,TRUE,TRUE,,Thanksgiving,Fall,,
Basket Oven,Speckled Egg Cake,1220,1900,475,2,TRUE,FALSE,,,,,
Basket Oven,Pastel Bunny Cake,1380,2200,550,3,TRUE,FALSE,,,,,
Basket Oven,Easter Faultline Cake,1540,2600,650,5,TRUE,FALSE,,,,,
Bavarian Oven,Majestic Mousse,940,1400,350,1,TRUE,TRUE,Purple,,,Puddings/Parfaits,Tray
Bavarian Oven,Pretzels,1640,2500,625,1,TRUE,TRUE,Tan,,,Savory,
Bavarian Oven,Cream Horns,2200,3600,900,3,TRUE,FALSE,,,,Pastries,
Bavarian Oven,Apple Pancake,3600,6200,1550,5,TRUE,FALSE,,,,Pancakes,
Bavarian Oven,Brownie Royale,1380,2200,550,3,FALSE,FALSE,,,,,
Bavarian Oven,Princely Pistachio Truffles,1620,3000,750,8,FALSE,FALSE,,,,,
Beach Baker,Chocolate Crabsants,760,1200,300,2,TRUE,FALSE,,,Summer,Breads,
Beach Baker,Boatnana Split,1080,1800,450,4,TRUE,FALSE,,,Summer,Ice Creams,
Beach Baker,Conchnnoli,1160,2000,500,5,TRUE,FALSE,,,Summer,Pastries,
Beach Oven,Surfing Cake,1220,1900,475,2,FALSE,FALSE,,,,,
Beach Oven,Coral Cake,1380,2200,550,3,FALSE,FALSE,,,,,
Beach Oven,Otter Top Cake,1540,2600,650,5,FALSE,FALSE,,,,,
Beehive Oven,Baked Honey Brie,1220,1900,475,2,FALSE,FALSE,,,,,
Beehive Oven,Light Honey Cake,1380,2200,550,3,FALSE,FALSE,,,,,
Beehive Oven,Honey Pear,1540,2600,650,5,FALSE,FALSE,,,,,
Belle Oven,Honey Puff Pear,1220,1900,475,2,FALSE,FALSE,,,,,
Belle Oven,Gold Leaf Donut,1380,2200,550,3,FALSE,FALSE,,,,,
